"id"	"disease_code"	"disease_name"	"diseaseICD"	"disease_category"
"2"	"GDXHL"	"古典型霍乱"	"A00.051"	"霍乱"
"3"	"ZXDXHL"	"中型[典型]霍乱"	"A00.052"	"霍乱"
"4"	"ZXBFXHGXHL"	"重型[暴发型或干性]霍乱"	"A00.053"	"霍乱"
"5"	"QXFDXHL"	"轻型[非典型]霍乱"	"A00.151"	"霍乱"
"6"	"AETHL"	"埃尔托霍乱"	"A00.152"	"霍乱"
"7"	"AETXCY"	"埃尔托小肠炎"	"A00.153"	"肠炎"
"8"	"HL"	"霍乱 NOS"	"A00.901"	"霍乱"
"9"	"SH"	"伤寒"	"A01.001"	"伤寒"
"10"	"SHGJXBXZ"	"伤寒杆菌性败血症"	"A01.002"	"伤寒"
"11"	"SHXNMY"	"伤寒性脑膜炎"	"A01.003+"	"脑膜炎"
"12"	"SHFY"	"伤寒肺炎"	"A01.051+"	"肺炎"
"13"	"SHFMY"	"伤寒腹膜炎"	"A01.052"	"伤寒"
"14"	"ABTSBSH"	"埃贝特Eberth`s氏病(伤寒)"	"A01.053"	"伤寒"
"15"	"CCXXSH"	"肠出血性伤寒"	"A01.054"	"伤寒"
"16"	"SHXCCK"	"伤寒性肠穿孔"	"A01.055"	"伤寒"
"17"	"CSH"	"肠伤寒"	"A01.056"	"伤寒"
"18"	"SHYXCY"	"伤寒样小肠炎"	"A01.057"	"肠炎"
"19"	"JXFSH"	"甲型副伤寒"	"A01.101"	"伤寒"
"20"	"YXFSH"	"乙型副伤寒"	"A01.201"	"伤寒"
"21"	"BXFSH"	"丙型副伤寒"	"A01.301"	"伤寒"
"22"	"FSH"	"副伤寒"	"A01.401"	"伤寒"
"23"	"QSMSJCY"	"Ｂ群沙门氏菌肠炎"	"A02.001"	"肠炎"
"24"	"QSMSJCY"	"Ｃ群沙门氏菌肠炎"	"A02.002"	"肠炎"
"25"	"AGLSMSJCY"	"阿哥拉沙门氏菌肠炎"	"A02.003"	"肠炎"
"26"	"SMSJXCY"	"沙门氏菌性肠炎"	"A02.004"	"肠炎"
"27"	"SMSJLDXQXCY"	"沙门氏菌伦敦血清型肠炎"	"A02.005"	"肠炎"
"28"	"SMSJWCY"	"沙门氏菌胃肠炎"	"A02.006"	"肠炎"
"29"	"SSHSMSJXCY"	"鼠伤寒沙门氏菌性肠炎"	"A02.007"	"肠炎"
"30"	"YESMSJCY"	"婴儿沙门氏菌肠炎"	"A02.008"	"肠炎"
"31"	"SMSJCDGR"	"沙门氏菌肠道感染"	"A02.051"	"肠道疾病"
"32"	"SMSJYLSNXCY"	"沙门氏菌(亚利桑那)小肠炎"	"A02.052"	"肠炎"
"33"	"SMSJBXZ"	"沙门氏菌败血症"	"A02.101"	"败血症"
"34"	"SMSJSSHBYBXZ"	"沙门氏菌鼠伤寒伴有败血症"	"A02.102"	"伤寒"
"35"	"SMSJXFY"	"沙门氏菌性肺炎"	"A02.201+"	"肺炎"
"36"	"SMSJXGJY"	"沙门氏菌性关节炎"	"A02.202+"	"关节疾病"
"37"	"SMSJXNMY"	"沙门氏菌性脑膜炎"	"A02.203+"	"脑膜炎"
"38"	"SMSJXGSY"	"沙门氏菌性骨髓炎"	"A02.251+"	"骨髓炎"
"39"	"SMSJXSXGJZB"	"沙门氏菌性肾小管-间质病"	"A02.252+"	"间质病"
"40"	"QTTZDSMSJGR"	"其他特指的沙门氏菌感染"	"A02.851"	"感染"
"41"	"SMSJGR"	"沙门氏菌感染 NOS"	"A02.901"	"感染"
"42"	"SSHSMSJGR"	"鼠伤寒沙门氏菌感染"	"A02.902"	"伤寒"
"43"	"SMSJSSWZD"	"沙门氏菌属食物中毒"	"A02.903"	"食物中毒"
"44"	"SMSZHJLJ"	"什密氏志贺菌痢疾"	"A03.001"	"痢疾"
"45"	"ZHKLZLJYQZHJB"	"志贺-克鲁泽痢疾[A亚群志贺菌病]"	"A03.051"	"痢疾"
"46"	"SMCSDCLJ"	"施米茨(－施蒂策)痢疾"	"A03.052"	"痢疾"
"47"	"FSZHJLJ"	"弗氏志贺菌痢疾"	"A03.101"	"痢疾"
"48"	"XSLSXJXLJ"	"希斯－罗素细菌性痢疾"	"A03.151"	"细菌性疾病"
"49"	"BSZHJLJ"	"鲍氏志贺菌痢疾"	"A03.201"	"痢疾"
"50"	"BYDXJXLJ"	"波伊德细菌性痢疾"	"A03.251"	"细菌性疾病"
"51"	"SNSZHJLJ"	"宋内氏志贺菌痢疾"	"A03.301"	"痢疾"
"52"	"BDXZHJLJ"	"不定型志贺菌痢疾"	"A03.801"	"痢疾"
"53"	"JLHHGR"	"菌痢混合感染"	"A03.802"	"感染"
"54"	"QTZHJLJ"	"其他志贺菌痢疾"	"A03.851"	"痢疾"
"55"	"XJXLJ"	"细菌性痢疾 NOS"	"A03.901"	"细菌性疾病"
"56"	"MXXJXLJJXFZ"	"慢性细菌性痢疾急性发作"	"A03.902"	"细菌性疾病"
"57"	"MXQYXXJXLJ"	"慢性迁延型细菌性痢疾"	"A03.903"	"细菌性疾病"
"58"	"MXYFXJL"	"慢性隐伏型菌痢"	"A03.904"	"其它暂时无法归类的"
"59"	"ZDXBFXLJ"	"中毒性[暴发型]痢疾"	"A03.905"	"痢疾"
"60"	"XJXJCY"	"细菌性结肠炎"	"A03.951"	"肠炎"
"61"	"XJXGJYLJ"	"细菌性关节炎痢疾"	"A03.952+"	"关节疾病"
"62"	"XSECBYXDCAXSJCY"	"新生儿肠病原性大肠埃希氏菌肠炎"	"A04.001"	"肠炎"
"63"	"CBYXDCAXSJCY"	"肠病原性大肠埃希氏菌肠炎"	"A04.002"	"肠炎"
"64"	"CDYBXDCAXSJGR"	"肠道原病性大肠埃希氏菌感染"	"A04.051"	"肠道疾病"
"65"	"CDXDCAXSJCY"	"肠毒性大肠埃希氏菌肠炎"	"A04.101"	"肠炎"
"66"	"XSECDXDCAXSJCY"	"新生儿肠毒性大肠埃希氏菌肠炎"	"A04.102"	"肠炎"
"67"	"CDXDCAXSJGR"	"肠毒性大肠埃希氏菌感染"	"A04.151"	"感染"
"68"	"QXXDCAXSJCY"	"侵袭性大肠埃希氏菌肠炎"	"A04.201"	"肠炎"
"69"	"XSEQXXDCGJCY"	"新生儿侵袭性大肠杆菌肠炎"	"A04.202"	"肠炎"
"70"	"CXXDCAXSJCY"	"出血性大肠埃希氏菌肠炎"	"A04.301"	"肠炎"
"71"	"XSECXXDCGJCY"	"新生儿出血性大肠杆菌肠炎"	"A04.302"	"肠炎"
"72"	"DCAXSGJXCDGR"	"大肠埃希氏杆菌性肠道感染"	"A04.401"	"肠道疾病"
"73"	"XSEDCGJCY"	"新生儿大肠杆菌肠炎"	"A04.402"	"肠炎"
"74"	"XSENFXDCGJCY"	"新生儿粘附性大肠杆菌肠炎"	"A04.403"	"肠炎"
"75"	"NFXDCGJCY"	"粘附性大肠杆菌肠炎"	"A04.404"	"肠炎"
"76"	"WQGJCY"	"弯曲杆菌肠炎"	"A04.501"	"肠炎"
"77"	"YESSJCYBXB"	"耶尔森氏菌肠炎[冰箱病]"	"A04.601"	"肠炎"
"78"	"NBSZYBGJCY"	"难辨梭状芽胞杆菌肠炎"	"A04.701"	"肠炎"
"79"	"NBSZYBGJXXCJCY"	"难辨梭状芽胞杆菌性小肠结肠炎"	"A04.751"	"肠炎"
"80"	"BLDBJCY"	"吡邻单胞菌肠炎"	"A04.801"	"肠炎"
"81"	"BXGJXCY"	"变形杆菌性肠炎"	"A04.802"	"肠炎"
"82"	"CQGJCY"	"产气杆菌肠炎"	"A04.803"	"肠炎"
"83"	"CDYYJGR"	"肠道厌氧菌感染"	"A04.804"	"肠道疾病"
"84"	"FHL"	"副霍乱"	"A04.805"	"霍乱"
"85"	"FRXGJCY"	"副溶血孤菌肠炎"	"A04.806"	"肠炎"
"86"	"JHSPTQJXCY"	"金黄色葡萄球菌性肠炎"	"A04.807"	"肠炎"
"87"	"LNGJXCY"	"绿脓杆菌性肠炎"	"A04.808"	"肠炎"
"88"	"NBYBGJCY"	"难辨芽胞杆菌肠炎"	"A04.809"	"肠炎"
"89"	"SSQDBJCY"	"嗜水气单胞菌肠炎"	"A04.810"	"肠炎"
"90"	"CQJMSZYBGJCQJMGJCY"	"产气荚膜梭状芽胞杆菌(产气荚膜杆菌)肠炎"	"A04.851"	"肠炎"
"91"	"CDGR"	"肠道感染"	"A04.901"	"肠道疾病"
"92"	"XJXCY"	"细菌性肠炎 NOS"	"A04.902"	"肠炎"
"93"	"GRXFX"	"感染性腹泻"	"A04.903"	"感染"
"94"	"PTQJXSWZD"	"葡萄球菌性食物中毒"	"A05.001"	"食物中毒"
"95"	"RDZD"	"肉毒中毒"	"A05.101"	"中毒"
"96"	"RDSZYBGJXSWZD"	"肉毒梭状芽胞杆菌性食物中毒"	"A05.151"	"食物中毒"
"97"	"CXXHSXCY"	"出血性坏死性肠炎"	"A05.201"	"肠炎"
"98"	"JXHSXCY"	"急性坏死性肠炎"	"A05.202"	"肠炎"
"99"	"JXCXXHSXCY"	"急性出血性坏死性肠炎"	"A05.203"	"肠炎"
"100"	"HSXCY"	"坏死性肠炎"	"A05.251"	"肠炎"
"101"	"CQJMSZYBGJWEXSZYBGJX"	"产气夹膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]性食物中毒"	"A05.252"	"食物中毒"
"102"	"ZFB"	"猪腹病"	"A05.253"	"其它腹部疾病"
"103"	"FRXHJXSWZD"	"副溶血弧菌性食物中毒"	"A05.301"	"食物中毒"
"104"	"LYYBGJXSWZD"	"蜡样芽胞杆菌性食物中毒"	"A05.451"	"食物中毒"
"105"	"DCGJXSWZD"	"大肠杆菌性食物中毒"	"A05.851"	"食物中毒"
"106"	"SYGJXSWZD"	"嗜盐杆菌性食物中毒"	"A05.852"	"食物中毒"
"107"	"XJXSWZD"	"细菌性食物中毒"	"A05.901"	"食物中毒"
"108"	"SWZD"	"食物中毒 NOS"	"A05.951"	"食物中毒"
"109"	"WCXSWZD"	"胃肠型食物中毒"	"A05.952"	"食物中毒"
"110"	"XCLCSWZD"	"香肠(腊肠)食物中毒"	"A05.953"	"食物中毒"
"111"	"AMBXCY"	"阿米巴性肠炎"	"A06.001"	"肠炎"
"112"	"AMBXJCY"	"阿米巴性结肠炎"	"A06.002"	"肠炎"
"113"	"AMBXLJ"	"阿米巴性痢疾"	"A06.003"	"痢疾"
"114"	"CDAMBB"	"肠道阿米巴病 NOS"	"A06.004"	"肠道疾病"
"115"	"JXAMBLJ"	"急性阿米巴痢疾"	"A06.005"	"痢疾"
"116"	"JXAMBB"	"急性阿米巴病"	"A06.051"	"阿米巴病"
"117"	"MXCDAMBB"	"慢性肠道阿米巴病"	"A06.101"	"肠道疾病"
"118"	"MXAMBXLJ"	"慢性阿米巴性痢疾"	"A06.151"	"痢疾"
"119"	"AMBCKY"	"阿米巴(肠)溃疡"	"A06.152"	"阿米巴病"
"120"	"MXAMBB"	"慢性阿米巴病"	"A06.153"	"阿米巴病"
