"id"	"tech_code"	"tech_name"	"tech_format"	"tech_price"	"tech_type"	"price_type"	"deptment_id"
"1"	"XQJSJM－MBTGMHXCD（GHXF）"	"X清肌酸激酶－MB同工酶活性测定（干化X法）"	""	"36.14"	"检验"	"检验费"	
"2"	"XQJSJM－MBTGMHXCD（JBF）"	"X清肌酸激酶－MB同工酶活性测定（金标法）"	""	"2.28"	"检验"	"检验费"	
"3"	"Nα1WLQDBCD（HXFGF）"	"尿α1微量球蛋白测定（化X发光法）"	""	"47.49"	"检验"	"检验费"	
"4"	"β2WQDBCD（GZMYXFF）"	"β2微球蛋白测定（各种免疫X方法）"	"江北"	"29.62"	"检验"	"检验费"	
"5"	"XQβ2WQDBCD（HXFGF）"	"X清β2微球蛋白测定（化X发光法）"	""	"46.31"	"检验"	"检验费"	
"6"	"Nβ2WQDBCD（HXFGF）"	"尿β2微球蛋白测定（化X发光法）"	""	"10.55"	"检验"	"检验费"	
"7"	"NDBDYFX（NJF）"	"尿蛋白电泳分析（凝胶法）"	""	"4.21"	"检验"	"检验费"	
"8"	"XQKGASTJMKTCD（GZMYXFF）"	"X清抗谷氨酸脱J酶抗体测定（各种免疫X方法）"	""	"1.38"	"检验"	"检验费"	
"9"	"WMSCD（GZMYXFF）"	"胃泌素测定（各种免疫X方法）"	""	"4.88"	"检验"	"检验费"	
"10"	"XJNXMYSJCD(PT)(YQF)"	"X浆凝X酶原时间测定(PT)(仪器法)"	""	"37.84"	"检验"	"检验费"	
"11"	"XQJSJM－MBTGMHXCD（SLF）"	"X清肌酸激酶－MB同工酶活性测定（速率法）"	"江北"	"10.96"	"检验"	"检验费"	
"12"	"QGTCD（HXFGF、YGMYF）"	"醛固酮测定（化X发光法、荧光免疫法）"	""	"19.01"	"检验"	"检验费"	
"13"	"NECFACD（SPF）"	"尿儿茶酚胺测定（色谱法）"	""	"2.39"	"检验"	"检验费"	
"14"	"NXCKXRS(VMA)CD（SPF）"	"尿香草苦杏仁酸(VMA)测定（色谱法）"	""	"34.92"	"检验"	"检验费"	
